business_status,formatted_address,name,opening_hours,place_id,plus_code,rating,types,user_ratings_total,permanently_closed,tag,price_level,results,lat,long
OPERATIONAL,"95-96/ Land mark Developer Bainguinim, velha, Goa 403402, India",Gomes Pousada Guest House,{'open_now': True},ChIJUQEypuu-vzsRC3FAQVIJNF0,"{'compound_code': 'FWR5+PQ Bainguinim, Goa', 'global_code': '7J7MFWR5+PQ'}",3.7,"['lodging', 'point_of_interest', 'establishment']",107,-1,lodging,-1,-1,15.4917799,73.9093798
OPERATIONAL,"1 Chimbel, near swami samarth temple, Ribandar, Goa 403006, India",OYO 45477 Vailankanni Nature's Inn,-1,ChIJE9UNeXS_vzsRt-dmF2VjwMk,"{'compound_code': 'FVQ7+22 Ribandar, Goa', 'global_code': '7J7MFVQ7+22'}",4.3,"['lodging', 'point_of_interest', 'establishment']",61,-1,lodging,-1,-1,15.487516,73.862525
OPERATIONAL,"Opposite Grand Hyatt, Bambolim, Goa 403206, India",Casa De Bambolim,-1,ChIJiabh0a-4vzsRz-7Ps6SZ7uo,"{'compound_code': 'FV23+V6 Bambolim, Goa', 'global_code': '7J7MFV23+V6'}",4.1,"['lodging', 'point_of_interest', 'establishment']",16,-1,lodging,-1,-1,15.4521989,73.853024
OPERATIONAL,"Kamat 3BHK, NH748, Bainguinim, Goa 403001, India",OYO 62455 Blissful Stay,-1,ChIJY__rODK_vzsRagShaqU9GVA,"{'compound_code': 'FWQ4+68 Bainguinim, Goa', 'global_code': '7J7MFWQ4+68'}",5,"['lodging', 'point_of_interest', 'establishment']",1,-1,lodging,-1,-1,15.488039,73.905846
OPERATIONAL,"House No. 225/3 Musqabat Ella, Goa Velha, Goa 403402, India",Shoolin Homestay,{'open_now': True},ChIJkWX6Eve_vzsRBpOukbu28q8,"{'compound_code': 'FWV9+JW Goa Velha, Goa', 'global_code': '7J7MFWV9+JW'}",4.4,"['lodging', 'point_of_interest', 'establishment']",12,-1,lodging,-1,-1,15.4940389,73.9197688
OPERATIONAL,"House No. K/276/1, Shed No Villa A-2 Old Goa, Panjim, Goa, 403402, India",OYO 10402 Relaxing Stay Near Mandovi River,{'open_now': True},ChIJVcFbnhy_vzsRNjatKkINBvA,"{'compound_code': 'FVWM+49 Ribandar, Goa', 'global_code': '7J7MFVWM+49'}",4.4,"['lodging', 'point_of_interest', 'establishment']",34,-1,lodging,-1,-1,15.4952787,73.8834894
OPERATIONAL,"217, Near, Charmanos Badem, Donwaddo, Salvador do Mundo, Goa 403101, India",CASA BOUTIQUE HOTELS,-1,ChIJq6qq1vm_vzsRUntgHWcT3_Q,"{'compound_code': 'GRRW+63 Donwaddo, Salvador do Mundo, Goa', 'global_code': '7J7MGRRW+63'}",4.3,"['lodging', 'point_of_interest', 'establishment']",6,-1,lodging,-1,-1,15.5405196,73.8452145
OPERATIONAL,"near Railway Station, Carambolim, goa, Goa 403110, India",SPOT ON 36499 Shubhankar Heritage,{'open_now': True},ChIJl10JL_G_vzsROtOehDBL2tQ,"{'compound_code': 'FWV9+Q8 Carambolim, Corlim, Goa', 'global_code': '7J7MFWV9+Q8'}",4,"['lodging', 'point_of_interest', 'establishment']",23,-1,lodging,-1,-1,15.4944686,73.9183464
OPERATIONAL,"Divar Island, Goa 403403, India",Mercure Goa Devaaya Retreat,{'open_now': True},ChIJ5TRcZI7AvzsRHWGS9Ms0bRQ,"{'compound_code': 'GWH4+3J Piedade, Goa', 'global_code': '7J7MGWH4+3J'}",4.5,"['lodging', 'point_of_interest', 'establishment']",47,-1,lodging,-1,-1,15.5276933,73.9065883
OPERATIONAL,"St. Lawrence church, Casa Bhatt, Agacaim, Near Coco Loco Village, Tiswadi, Tiswadi, Goa 403204, India",Brit's Palace Goa,{'open_now': True},ChIJDYYVzA-5vzsRWEEVi4qGl5c,"{'compound_code': 'CWH3+X8 Tiswadi, Goa', 'global_code': '7J7MCWH3+X8'}",4.3,"['lodging', 'point_of_interest', 'establishment']",16,-1,lodging,-1,-1,15.429885,73.903359
OPERATIONAL,"145, Caribhat, Carambolim, Corlim, Goa 403110, India",OYO 18687 Lake View 3BHK Villa Carambolim,-1,ChIJ73AESke_vzsR6prQa4cjXT8,"{'compound_code': 'FWQJ+Q5 Carambolim, Corlim, Goa', 'global_code': '7J7MFWQJ+Q5'}",4.3,"['lodging', 'point_of_interest', 'establishment']",24,-1,lodging,-1,-1,15.489468,73.930486
OPERATIONAL,"National Hwy 4A Bypass Rd, opposite Divar Ferry, Ribandar, Goa 403006, India",OYO 49000 River Isle Guest House,{'open_now': True},ChIJl024hQW_vzsRpPbJvrN58bM,"{'compound_code': 'GV2G+4W Ribandar, Goa', 'global_code': '7J7MGV2G+4W'}",4.1,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",372,-1,lodging,-1,-1,15.5003559,73.8772795
OPERATIONAL,"UG2,F2 Flat UG2(First Floor) and F2(Second Floor), Lawande Panthea, Curca, Goa 403202, India",OYO 26700 Greek Style 3BHK,-1,ChIJK6YGaCm5vzsRgUFk8_qghrc,"{'compound_code': 'FV39+69 Curca, Goa', 'global_code': '7J7MFV39+69'}",4.9,"['lodging', 'point_of_interest', 'establishment']",17,-1,lodging,-1,-1,15.4530429,73.8684869
OPERATIONAL,"Chinch Wada, Chimbel,Tui Wadi, Panjim, Goa, 403001, India",Village Inn,{'open_now': True},ChIJwyhIew2_vzsR31xHqo-6ybs,"{'compound_code': 'FVW9+P3 Ribandar, Goa', 'global_code': '7J7MFVW9+P3'}",3.9,"['lodging', 'point_of_interest', 'establishment']",162,-1,lodging,-1,-1,15.4968262,73.8676715
OPERATIONAL,"Villa No -9,Magia ARR, Salvedor Do Mundo, Bardez, North Goa, Goa, Goa, 403101, India",SuryaVillaGoa,{},ChIJc6DP4fG_vzsRvMOgeLuVrtc,"{'compound_code': 'GVP3+GH Donwaddo, Salvador Do Mundo, Bardez, Goa', 'global_code': '7J7MGVP3+GH'}",4.3,"['lodging', 'point_of_interest', 'establishment']",24,-1,lodging,-1,-1,15.5362937,73.8539161
OPERATIONAL,"Near Karmali Railway Station, Carambolim Lake road Junction, Lake Road, Carambolim, Goa 403110, India",Hotel Wilsha,{'open_now': True},ChIJZ3g827y-vzsRaW0ltLvl81k,"{'compound_code': 'FWPF+77 Carambolim, Corlim, Goa', 'global_code': '7J7MFWPF+77'}",3.4,"['lodging', 'point_of_interest', 'establishment']",335,-1,lodging,-1,-1,15.4856898,73.9232448
OPERATIONAL,"Flat No. F-306 Near Sunshine School, Goa 403110, India",OYO 11430 Home Green View 2BHK Old Goa,-1,ChIJp6m8i1i_vzsR8BRqW7_a0W4,"{'compound_code': 'FWP5+46 Bainguinim, Goa', 'global_code': '7J7MFWP5+46'}",4,"['lodging', 'point_of_interest', 'establishment']",1,-1,lodging,-1,-1,15.485366,73.90808
OPERATIONAL,"Carambolim, Corlim, Goa 403110, India",Sai Chand Guest House,{'open_now': True},ChIJxXp-Y5--vzsR9K_jj1079Wk,"{'compound_code': 'FWRJ+2V Carambolim, Corlim, Goa', 'global_code': '7J7MFWRJ+2V'}",3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",77,-1,lodging,2,-1,15.4900786,73.9321401
OPERATIONAL,"Zuari Bridge, St. Lawrence Agassaim, Casa Bhatt Near, Agaçaim, Goa 403204, India","Brit's Palace, Goa.",{'open_now': True},ChIJmR1a7wW5vzsRRl_pebUxtZU,"{'compound_code': 'CVGX+4W Agaçaim, Goa', 'global_code': '7J7MCVGX+4W'}",4.1,"['lodging', 'point_of_interest', 'establishment']",195,-1,lodging,-1,-1,15.4253379,73.8997578
CLOSED_TEMPORARILY,"Colva Beach Rd, Fatona, Seraulim, Goa 403708, India",Al Gousia Sunni Masjid And Madrasa,-1,ChIJT7YX1wG0vzsRvRMgpXYmLK8,"{'compound_code': '7WPJ+2X Fatona, Colva, Goa', 'global_code': '7J7M7WPJ+2X'}",4.4,"['mosque', 'place_of_worship', 'point_of_interest', 'establishment']",14,TRUE,mosque,-1,-1,15.2851182,73.9324364
CLOSED_TEMPORARILY,"Green Valley, Chicalim, Goa 403801, India",Al Misbah Masjid,-1,ChIJPUuSlQu4vzsRWwzfh5ZQITQ,"{'compound_code': '9RQW+FF Green Valley, Chicalim, Goa', 'global_code': '7J7M9RQW+FF'}",4.1,"['mosque', 'place_of_worship', 'point_of_interest', 'establishment']",11,TRUE,mosque,-1,-1,15.3886643,73.8461642
