business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,results,lat,long
CLOSED_TEMPORARILY,"113,, 16/112-113, Chilli Int Rd, Civil Lines, Agra, Uttar Pradesh 282003, India",Saint Peter's Church,TRUE,ChIJEZg2uTd3dDkR4ivJmKlqbhI,"{'compound_code': '52W5+2X Civil Lines, Agra, Uttar Pradesh', 'global_code': '7JVW52W5+2X'}",4.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",21,-1,church,-1,-1,27.1951238,78.0099309
CLOSED_TEMPORARILY,"54, Bagh Farzana, Lajpat Kunj, Civil Lines, Agra, Uttar Pradesh 282002, India",St. Paul's Church,TRUE,ChIJ9YMgMEJ3dDkRprcW8Jt6Shg,"{'compound_code': '6X3X+5R Civil Lines, Agra, Uttar Pradesh', 'global_code': '7JVV6X3X+5R'}",5,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",11,-1,church,-1,-1,27.2028799,77.9995176
CLOSED_TEMPORARILY,"G-7, Shamshabad Road, Kahrai More, Agra, Uttar Pradesh 282001, India",AGRA ST THOMAS ORTHODOX CHURCH,TRUE,ChIJ_arBD2dxdDkRmBDdM20OKxE,"{'compound_code': '42QV+8Q Agra, Uttar Pradesh', 'global_code': '7JVW42QV+8Q'}",4.9,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",15,-1,church,-1,-1,27.1383324,78.0444087
OPERATIONAL,"Unnamed Road, Siddharth Nagar, Tajganj, Agra, Uttar Pradesh 282001, India",CHURCH OF GOD(FG) IN INDIA,-1,ChIJkRhUqxVxdDkRmt8URDK-b30,"{'compound_code': '524V+RX Tajganj, Agra, Uttar Pradesh', 'global_code': '7JVW524V+RX'}",4.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",6,-1,church,-1,-1,27.1570839,78.0449158
OPERATIONAL,"Arjun Nagar Rd, Barakhamba, Arjun Nagar, Agra, Uttar Pradesh 282001, India",Light of Life Church,-1,ChIJzZbgeOJ2dDkRdzL2USJiP5A,"{'compound_code': '5XCQ+G5 Agra, Uttar Pradesh', 'global_code': '7JVV5XCQ+G5'}",4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",9,-1,church,-1,-1,27.1713349,77.9878837
CLOSED_TEMPORARILY,"Adarsh Nagar, Shahzadi Mandi, Rakabganj, Agra, Uttar Pradesh 282001, India",St. Mary's Church,TRUE,ChIJseBtItF2dDkRwEeeLkstY4w,"{'compound_code': '5286+JH Rakabganj, Agra, Uttar Pradesh', 'global_code': '7JVW5286+JH'}",4.6,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",8,-1,church,-1,-1,27.1666016,78.0114434
CLOSED_TEMPORARILY,"240-240 A/1, Mall Rd, Sultan Pura, Agra Cantt, Idgah Colony, Agra, Uttar Pradesh 282001, India",Assembly of Belivers Church,TRUE,ChIJ21qhy-l2dDkRvzFF0zBmScY,"{'compound_code': '5X5W+36 Idgah Colony, Agra, Uttar Pradesh', 'global_code': '7JVV5X5W+36'}",2.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",5,-1,church,-1,-1,27.157736,77.9955257
CLOSED_TEMPORARILY,"Hospital Rd, Agra, Uttar Pradesh, India",St Johns Church Compound,TRUE,ChIJD3dvnjF3dDkRRCxUgl2kYd0,"{'compound_code': '52Q7+73 Mantola, Agra, Uttar Pradesh', 'global_code': '7JVW52Q7+73'}",4.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",25,-1,church,-1,-1,27.1882463,78.0127037
CLOSED_TEMPORARILY,"Khandari Rd, unit 1, Khandari, Agra, Uttar Pradesh 282002, India",St. Paul's Church College,TRUE,ChIJwXJWeyh3dDkR_dTv63pBEhE,"{'compound_code': '52G5+CG Khandari, Agra, Uttar Pradesh', 'global_code': '7JVW52G5+CG'}",4.1,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",8,-1,church,-1,-1,27.1760916,78.008811
CLOSED_TEMPORARILY,"Daresi Rd, Rawatpara, Sheb Bazar, Mantola, Agra, Uttar Pradesh 282003, India",Shri Mankameshwar Mandir,TRUE,ChIJa4NfGi13dDkRcnaUHNvUj04,"{'compound_code': '52M9+F2 Mantola, Agra, Uttar Pradesh', 'global_code': '7JVW52M9+F2'}",4.7,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",3512,-1,hindu_temple,-1,-1,27.1836638,78.0175343
OPERATIONAL,"14, Hospital Rd, Sindhi Bazar,Sindhi Market, Rawatpara, Bodhi Ka Nagala, Mantola, Agra, Uttar Pradesh 282003, India",Agra,-1,ChIJR_DfojF3dDkRafG0SyqC2z0,"{'compound_code': '52Q6+3V Mantola, Agra, Uttar Pradesh', 'global_code': '7JVW52Q6+3V'}",4.6,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",22,-1,hindu_temple,-1,-1,27.1877008,78.0122275
OPERATIONAL,"Balkeshwar Ghat Wasan, Kailash Nagar, Rajwara, Kamla Nagar, Agra, Uttar Pradesh 282004, India",Balkeshwar Mandir,-1,ChIJW_FiEqhwdDkRyXV0Z6m8drg,"{'compound_code': '62CJ+57 Kamla Nagar, Agra, Uttar Pradesh', 'global_code': '7JVW62CJ+57'}",4.6,"['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",716,-1,hindu_temple,-1,-1,27.2204465,78.0306764
CLOSED_TEMPORARILY,"198, North Idgah Colony, Panchkuian, Rakabganj, Agra, Uttar Pradesh 282001, India",Shiv Mandir,TRUE,ChIJgTR1JiF3dDkRRIRXxACKwsc,"{'compound_code': '52G2+FJ Rakabganj, Agra, Uttar Pradesh', 'global_code': '7JVW52G2+FJ'}",4.6,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",7,-1,hindu_temple,-1,-1,27.1761929,78.0016099
CLOSED_TEMPORARILY,"Agra,, Nawalganj, Agra, Uttar Pradesh 282006, India",Hanuman Mandir,TRUE,ChIJcTfMfcFwdDkRQax585cA25w,"{'compound_code': '52VQ+FJ Nawalganj, Agra, Uttar Pradesh', 'global_code': '7JVW52VQ+FJ'}",5,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",4,-1,hindu_temple,-1,-1,27.1937131,78.0390999
CLOSED_TEMPORARILY,"Sewala Jat, Panchkuian, Rakabganj, Agra, Uttar Pradesh 282001, India",Langre ki chowki hanuman mandir agra,TRUE,ChIJAyYLVwd3dDkRFIIys_GXkeQ,"{'compound_code': '52G5+M6 Agra, Uttar Pradesh', 'global_code': '7JVW52G5+M6'}",5,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",1,-1,hindu_temple,-1,-1,27.1766701,78.0080745
CLOSED_TEMPORARILY,"Sultanpura, Sultan Pura, Agra Cantt, Idgah Colony, Agra, Uttar Pradesh 282001, India",Mirapiyavir Mandir,TRUE,ChIJVVVVled2dDkR5UrcdW1o5ls,"{'compound_code': '5X6W+W4 Idgah Colony, Agra, Uttar Pradesh', 'global_code': '7JVV5X6W+W4'}",0,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",0,-1,hindu_temple,-1,-1,27.1622596,77.995277
CLOSED_TEMPORARILY,"Fatehabad Rd, Near Purani Mandi Crossing, Impeypura, Rakabganj, Agra, Uttar Pradesh 282001, India",Shiv Mandir Hindu Temple,TRUE,ChIJ2zCUeyNxdDkRWYcpTMfIVxo,"{'compound_code': '528P+HV Rakabganj, Agra, Uttar Pradesh', 'global_code': '7JVW528P+HV'}",0,"['place_of_worship', 'hindu_temple', 'point_of_interest', 'establishment']",0,-1,hindu_temple,-1,-1,27.1664527,78.0371617
CLOSED_TEMPORARILY,"26/171, Katra Gadriyan, Chhipitola, Rakabganj, Agra, Uttar Pradesh 282001, India",Mata Ka Mandir,TRUE,ChIJ41OGP253dDkRGcbRJ06AIHc,"{'compound_code': '52G6+M3 Rakabganj, Agra, Uttar Pradesh', 'global_code': '7JVW52G6+M3'}",0,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",0,-1,hindu_temple,-1,-1,27.176652,78.0102089
