business_status,formatted_address,name,permanently_closed,place_id,plus_code,rating,types,user_ratings_total,opening_hours,tag,price_level,lat,long
CLOSED_TEMPORARILY,"Khadkeshwar Rd, Khadkeshwar, Aurangabad, Maharashtra 431001, India",Christian Fellowship Church,TRUE,ChIJFR0eOhSY2zsRwg1NUhFWdfY,"{'compound_code': 'V8PC+JG Khadkeshwar, Aurangabad, Maharashtra', 'global_code': '7JFQV8PC+JG'}",4.1,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",19,-1,church,-1,19.8865605,75.3213346
CLOSED_TEMPORARILY,"N-2, C I D C O, Jalna Road, Mukundwadi, Near Chikalthana, Mukundwadi, Aurangabad, Maharashtra 431005, India",Evangelical Church Of India,TRUE,ChIJVVVVVYGY2zsRAI-NhJk7A58,-1,0,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",0,-1,church,-1,19.8540341,75.3353876
CLOSED_TEMPORARILY,"Mhada Colony, N 2, Cidco, Aurangabad, Maharashtra 431007, India",AG CHURCH,TRUE,ChIJrfph5iyj2zsRIwbPSrAerrA,"{'compound_code': 'V97R+RQ Cidco, Aurangabad, Maharashtra', 'global_code': '7JFQV97R+RQ'}",4.7,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",7,-1,church,-1,19.8645092,75.3919967
CLOSED_TEMPORARILY,"Gaulipura Ward no, 1, Cantonment Chhawani Rd, Aurangabad, Maharashtra 431002, India",Christ Church (CNI),TRUE,ChIJ27bxzTmY2zsRHPkBYF6UXVk,"{'compound_code': 'V8M5+G2 Aurangabad, Maharashtra', 'global_code': '7JFQV8M5+G2'}",4.4,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",60,-1,church,-1,19.883825,75.3076027
CLOSED_TEMPORARILY,"Sector 92-A, N-1, Cidco, Cidco, Aurangabad, Maharashtra 431001, India",Baftist Missionary Association,TRUE,ChIJVVVVFeyi2zsRi5FI_hk2xxk,-1,0,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",0,-1,church,-1,19.8786234,75.3689089
CLOSED_TEMPORARILY,"Shivajinagar, Sara Raaj Nagar, Shivaji Nagar, Aurangabad, Maharashtra 431007, India",GOD'S LAMB JESUS CHRIST CHURCH ANANDNAGAR,TRUE,ChIJ6WRMjmOi2zsRsP6acKp5Pzc,"{'compound_code': 'V944+HM Aurangabad, Maharashtra', 'global_code': '7JFQV944+HM'}",1,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",2,-1,church,-1,19.8564253,75.3567169
CLOSED_TEMPORARILY,"Prajapita Bhramhakumari Vishvidyalaya, Jawahar Colony Rd, Bhanudas Nagar, C\O, Aurangabad, Maharashtra 431005, India",World Renewal Spiritual Trust,TRUE,ChIJq6qqupyi2zsRNKDbQimT85M,"{'compound_code': 'V8FW+6G Aurangabad, Maharashtra', 'global_code': '7JFQV8FW+6G'}",2,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",2,-1,church,-1,19.8730924,75.3463078
CLOSED_TEMPORARILY,"Plot. no 22.Nisarg Colony, Pethenagar Bhausingpura, Aurangabad, Maharashtra 431001, India",The Pentecostal Mission church,TRUE,ChIJy72QfYeX2zsRR6WaYK8iArY,"{'compound_code': 'W833+F4 Aurangabad, Maharashtra', 'global_code': '7JFQW833+F4'}",3.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",3,-1,church,-1,19.9036579,75.3028196
CLOSED_TEMPORARILY,"Unnamed Road, Mhasoba Nagar, Harsul, Aurangabad, Maharashtra 431003, India",Church,TRUE,ChIJrWHgo8292zsRaTC2Eop0mAE,"{'compound_code': 'W954+X7 Harsul, Aurangabad, Maharashtra', 'global_code': '7JFQW954+X7'}",2.3,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",4,-1,church,-1,19.9099962,75.3556276
CLOSED_TEMPORARILY,"Sambhaji Colony, Mathura Nagar, N-6, Cidco, Aurangabad, Maharashtra 431003, India",Kulswamini Tulja Bhavani Mandir,TRUE,ChIJV2CDM5ai2zsRQwNdU1k3zC8,"{'compound_code': 'V9M4+G9 Cidco, Aurangabad, Maharashtra', 'global_code': '7JFQV9M4+G9'}",3.3,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",7,-1,hindu_temple,-1,19.883758,75.355997
